Scene: MainSceneVR
Role: Fixer

Condition: 0, Errors: 2, Time stared at a face: 5.318138, Time taken: 68.68, Average FPS: 88.12549

Condition: 2, Errors: 12, Time stared at a face: 5.148672, Time taken: 102.73, Average FPS: 88.57386

Condition: 1, Errors: 5, Time stared at a face: 1.453953, Time taken: 88.15, Average FPS: 88.77998

Condition: 3, Errors: 5, Time stared at a face: 7.358188, Time taken: 96.74, Average FPS: 88.90816



Condition: 0, question: 0, answer: 1
Condition: 0, question: 1, answer: 5
Condition: 0, question: 2, answer: 5
Condition: 0, question: 3, answer: 2
Condition: 0, question: 4, answer: 1
Condition: 0, question: 5, answer: 3

Condition: 2, question: 0, answer: 3
Condition: 2, question: 1, answer: 3
Condition: 2, question: 2, answer: 5
Condition: 2, question: 3, answer: 1
Condition: 2, question: 4, answer: 4
Condition: 2, question: 5, answer: 2

Condition: 1, question: 0, answer: 4
Condition: 1, question: 1, answer: 5
Condition: 1, question: 2, answer: 5
Condition: 1, question: 3, answer: 4
Condition: 1, question: 4, answer: 5
Condition: 1, question: 5, answer: 4

Condition: 3, question: 0, answer: 5
Condition: 3, question: 1, answer: 1
Condition: 3, question: 2, answer: 4
Condition: 3, question: 3, answer: 5
Condition: 3, question: 4, answer: 2
Condition: 3, question: 5, answer: 3
