Scene: MainSceneVR
Role: Fetcher

Condition: 0, Errors: 3, Time stared at a face: 0.523214, Time taken: 101.88, Average FPS: 88.86581

Condition: 3, Errors: 0, Time stared at a face: 0.2140729, Time taken: 62.22, Average FPS: 88.98694

Condition: 1, Errors: 0, Time stared at a face: 0, Time taken: 63.81, Average FPS: 89.04574

Condition: 2, Errors: 1, Time stared at a face: 0, Time taken: 54.83, Average FPS: 89.08422



Condition: 0, question: 0, answer: 4
Condition: 0, question: 1, answer: 4
Condition: 0, question: 2, answer: 5
Condition: 0, question: 3, answer: 5
Condition: 0, question: 4, answer: 1
Condition: 0, question: 5, answer: 5

Condition: 3, question: 0, answer: 1
Condition: 3, question: 1, answer: 4
Condition: 3, question: 2, answer: 5
Condition: 3, question: 3, answer: 5
Condition: 3, question: 4, answer: 2
Condition: 3, question: 5, answer: 5

Condition: 1, question: 0, answer: 1
Condition: 1, question: 1, answer: 4
Condition: 1, question: 2, answer: 5
Condition: 1, question: 3, answer: 5
Condition: 1, question: 4, answer: 2
Condition: 1, question: 5, answer: 5

Condition: 2, question: 0, answer: 1
Condition: 2, question: 1, answer: 4
Condition: 2, question: 2, answer: 5
Condition: 2, question: 3, answer: 5
Condition: 2, question: 4, answer: 3
Condition: 2, question: 5, answer: 5
