Scene: MainSceneVR
Role: Fixer

Condition: 1, Errors: 0, Time stared at a face: 1.941544, Time taken: 103.74, Average FPS: 88.62798

Condition: 2, Errors: 0, Time stared at a face: 0.1907836, Time taken: 65.93, Average FPS: 88.87447

Condition: 3, Errors: 0, Time stared at a face: 1.507748, Time taken: 57.98, Average FPS: 88.98535

Condition: 0, Errors: 0, Time stared at a face: 0.3567887, Time taken: 49.76, Average FPS: 89.05759



Condition: 1, question: 0, answer: 1
Condition: 1, question: 1, answer: 4
Condition: 1, question: 2, answer: 4
Condition: 1, question: 3, answer: 4
Condition: 1, question: 4, answer: 2
Condition: 1, question: 5, answer: 5
Condition: 1, question: 6, answer: 2

Condition: 2, question: 0, answer: 1
Condition: 2, question: 1, answer: 3
Condition: 2, question: 2, answer: 4
Condition: 2, question: 3, answer: 4
Condition: 2, question: 4, answer: 4
Condition: 2, question: 5, answer: 4
Condition: 2, question: 6, answer: 4

Condition: 3, question: 0, answer: 1
Condition: 3, question: 1, answer: 4
Condition: 3, question: 2, answer: 4
Condition: 3, question: 3, answer: 4
Condition: 3, question: 4, answer: 2
Condition: 3, question: 5, answer: 4
Condition: 3, question: 6, answer: 3

Condition: 0, question: 0, answer: 1
Condition: 0, question: 1, answer: 4
Condition: 0, question: 2, answer: 4
Condition: 0, question: 3, answer: 4
Condition: 0, question: 4, answer: 3
Condition: 0, question: 5, answer: 4
Condition: 0, question: 6, answer: 3
