Scene: MainSceneVR
Role: Fetcher

Condition: 2, Errors: 1, Time stared at a face: 5.831491, Time taken: 130.79, Average FPS: 88.35355

Condition: 0, Errors: 1, Time stared at a face: 5.237141, Time taken: 67.95, Average FPS: 88.71007

Condition: 1, Errors: 0, Time stared at a face: 3.391738, Time taken: 57.55, Average FPS: 88.84912

Condition: 3, Errors: 0, Time stared at a face: 1.399056, Time taken: 52.10, Average FPS: 88.93231



Condition: 2, question: 0, answer: 1
Condition: 2, question: 1, answer: 3
Condition: 2, question: 2, answer: 5
Condition: 2, question: 3, answer: 4
Condition: 2, question: 4, answer: 1
Condition: 2, question: 5, answer: 5
Condition: 2, question: 6, answer: 2

Condition: 0, question: 0, answer: 1
Condition: 0, question: 1, answer: 3
Condition: 0, question: 2, answer: 5
Condition: 0, question: 3, answer: 4
Condition: 0, question: 4, answer: 1
Condition: 0, question: 5, answer: 5
Condition: 0, question: 6, answer: 1

Condition: 1, question: 0, answer: 1
Condition: 1, question: 1, answer: 3
Condition: 1, question: 2, answer: 5
Condition: 1, question: 3, answer: 3
Condition: 1, question: 4, answer: 1
Condition: 1, question: 5, answer: 5
Condition: 1, question: 6, answer: 1

Condition: 3, question: 0, answer: 1
Condition: 3, question: 1, answer: 3
Condition: 3, question: 2, answer: 5
Condition: 3, question: 3, answer: 3
Condition: 3, question: 4, answer: 1
Condition: 3, question: 5, answer: 5
Condition: 3, question: 6, answer: 2
